disease,symptoms
peptic ulcer disease,im having trouble sleeping because of stomach pain im also tired after using the bathroom and i dont have much of an appetite im feeling pretty anxious all the time
varicose veins,i have cramps in my calves and it is difficult for me to walk i feel tired after working for some time i think it is because i am obese
peptic ulcer disease,i have a burning pain in my stomach that comes and goes i also have a loss of appetite and energy and often feel very fatigued
allergy,im always tired my taste is off and my throat is really scratchy i also have muscle pain and heat my whole body cramps up sometimes
dengue,ive been having a lot of joint pain and its been really hard to walk ive also lost my appetite and i feel really weak and nauseous
chicken pox,i have small lymph nodes on my arms and face that are starting to swell ive been really miserable all day because of the constant itching and pain
psoriasis,ive been having joint pain in my fingers wrists and knees for a few weeks now the pain is usually aching and throbbing and it gets worse when i move my joints ive also noticed some red scaly patches on my skin
hypertension,ive been having trouble concentrating and focusing and ive been feeling dizzy ive also had a headache and chest pain
arthritis,ive been feeling really weak in my muscles lately and my neck has been really stiff my joints have been swollen and its hard for me to move around its also been painful to walk
psoriasis,i have a rash on my skin that is red itchy and scaly it is worse in the winter months when the air is dry i have to moisturize more frequently and use humidifiers to keep my skin hydrated
malaria,ive been having chills nausea a high temperature and severe muscle pain i also have a headache and im sweating a lot
drug reaction,i have been experiencing changes in my menstrual cycle and unexpected vaginal discharge i also have been feeling agitated and moody
arthritis,my neck has been really tight and my muscles have felt weak i cant move around without getting stiff and my joints are swollen walking is really uncomfortable
pneumonia,im burning up and i cant catch my breath im sweating and shivering and im so tired my heart is racing and im coughing up brown stuff
varicose veins,i have been experiencing pain and swelling in my legs the pain is worse when i stand for long periods of time
peptic ulcer disease,i have a lot of hunger and i cant seem to get enough to eat my stomach hurts and cramps sometimes after i eat i get really bad gas and bloating
psoriasis,i have been experiencing a lot of fatigue and a general feeling of malaise i often feel tired and have a lack of energy even after a good nights sleep i have also been experiencing some joint pain and stiffness especially in my knees and ankles
bronchial asthma,ive been coughing a lot and its hard to breathe ive been coughing up a lot of mucus and my fever is high
gastroesophageal reflux disease,i have a burning sensation in my throat that comes and goes its worse after i eat and sometimes i get a sour or bitter taste in my mouth i also get nauseous sometimes
impetigo,i have a rash on my face it is made up of blisters the blisters have a yellow fluid coming out of them
malaria,i have a fever chills and severe itching i also have a headache and am sweating a lot i feel awful and have nausea and muscle aches
malaria,ive been feeling really sick lately ive been having a high fever chills and severe itching ive also been vomiting and sweating a lot i have a headache and nausea and my muscles are sore
varicose veins,i have noticed that my legs are swollen and have dark purple veins they are not painful but are concerning to me
arthritis,ive been having a lot of pain in my joints and my neck has been really tight its hard for me to move around without getting stiff and its really painful to walk
bronchial asthma,hey mom and dad ive been feeling really tired lately and i have a cough that wont go away my fever is really high and my breathing has become shallow ive also been coughing up a lot of mucous thick sputum
dengue,i have been feeling chills and shivering and i have a high fever i also have rashes on my arms and red spots on my neck
common cold,i have a really bad cold my nose is running and my eyes are all red and swollen ive been coughing a lot and my chest feels really heavy i cant smell anything and my muscles are really sore
diabetes,im always thirsty and i pee a lot i feel really tired and im always getting lost i cant see very well anymore
pneumonia,im having trouble breathing and im really uncomfortable my throat is full of phlegm and im sweating a lot my heart is racing and my chest hurts im coughing up red mucus
malaria,i have a really high fever im so itchy im shaking and ive been throwing up ive also got a headache and ive been sweating a lot im also feeling really sick to my stomach and my muscles are aching
typhoid,ive been vomiting and having diarrhea for a few days ive also been having a fever constipation and headache im having a hard time staying hydrated
arthritis,ive been experiencing muscular weakness and stiffness in my neck recently my joints have swollen making it hard for me to move around without getting stiff walking has also been very painful
dengue,i have been feeling sick to my stomach and have been throwing up my head hurts really bad and i have some red spots on my arms
varicose veins,my legs have been swollen for a few days i can see the veins bulging out of my skin this is not normal for me
urinary tract infection,i have a fever and my stomach hurts i have to pee all the time and it hurts when i do the pain is always there and it gets worse at night my pee smells bad
diabetes,i have a dry cough that just wont go away i also have this problem with my infections not healing and i have palpitations
common cold,ive been feeling really sick i have a runny nose and a lot of congestion ive been coughing a lot and i have a lot of chest pain my fever is really high and ive been feeling really achy
diabetes,i have breathing problems especially when im outside im suddenly flushed and perspiring i get yeast infections and urinary tract infections a lot
drug reaction,ive been having headaches and migraines and i cant sleep ive been shaking and shivering all over sometimes i feel lightheaded
jaundice,ive been feeling really sick and tired ive lost weight and have a fever my urine is dark and my skin is yellow ive also been having stomach pain
typhoid,i have diarrhea and a severe pain in my belly i dont want to eat anything and i have a headache
gastroesophageal reflux disease,i have heartburn and indigestion i often vomit whatever i eat and have difficulty swallowing food i have a nagging pain in my upper abdomen i have a hard time sleeping because of the pain
pneumonia,ive been feeling really sick lately ive been coughing a lot and ive been having trouble breathing ive also been having chills and a fever ive been feeling really weak and tired ive also been coughing up a lot of phlegm
drug reaction,i have a lot of nausea and chest pain my chest has been hurting for a while now i shiver a lot and im really anxious
hypertension,i have been having a headache chest pain dizziness and trouble with my balance it has also been hard for me to focus and concentrate
fungal infection,ive been having a lot of itching on my skin and sometimes it turns into a rash there are also some weird patches of skin that are a different color than the rest of me and sometimes i get little pimples that look like nodules
varicose veins,i have swelling in my legs and it is causing me to have difficulty fitting into my shoes it also causes discomfort when i sit for long periods of time
urinary tract infection,i have been having a lot of pain when i urinate and it burns i also have a fever and i feel like i have to urinate all the time
cervical spondylosis,ive been having back pain a chronic cough and muscle weakness im also dizzy and losing my balance and my neck hurts
drug reaction,i feel really sick when i have a fever i get really nauseous and lightheaded and my heart pounds really fast i cant think straight and everything feels hazy
drug reaction,ive been having migraines and headaches and i cant sleep my muscles are twitching and trembling and i feel dizzy
pneumonia,ive been feeling really run down lately ive had a cough that just wont go away and its starting to hurt when i cough my chest feels tight and my heart is racing ive also been coughing up some phlegm thats a weird color
psoriasis,ive had this rash on my arms legs and chest for a few weeks its red and itchy and its covered in dry scaly spots i also have some pain in my joints
allergy,i have a runny nose sneezing watery eyes and a cough my head hurts too
arthritis,ive been having a lot of pain in my joints and theyre all swollen im also having trouble moving around because of the stiffness
varicose veins,my veins are bulging and painful i cant stand for long periods of time as it causes pain in my legs similar to cramps
migraine,i have been having headaches for a while now they are very painful and make me feel sick i also have nausea vomiting and sensitivity to light and sound
impetigo,i have a rash on my face that is very painful and inflamed the sores are weeping clear fluid and it is getting worse every day
allergy,i have a stuffy nose and nasal congestion i sometimes have chest discomfort during the night i cant smell or taste anything
pneumonia,ive been feeling really sick lately ive had a fever chills fatigue a cough and difficulty breathing ive also been sweating a lot and just feeling really weak ive also had some phlegm thats been really thick and dark
